,FID,LOC_ID,SITECODE,UTM_E,UTM_N,LATITUDE,LONGITUDE,ALT_SITECODE,PI,LOC_TYPE,GPS_ELEV,DATE_COLLECTED,PROJECT_DESCRIPTION
1,232,233,PTQUAD08,449721.138,4433996.594,40.0547156,-105.5894924,Saddle Pt Quad 08,Marilyn Walker,observational plot,3528.187,,Point quadrat measurements at the saddle are made yearly
1,233,234,PTQUAD07,449666.367,4434012.591,40.0548565,-105.5901358,Saddle Pt Quad 07,Marilyn Walker,observational plot,3528.356,,Point quadrat measurements at the saddle are made yearly
1,234,235,PTQUAD17,449683.632,4434061.565,40.0552987,-105.5899372,Saddle Pt Quad 17,Marilyn Walker,observational plot,3528.725,,Point quadrat measurements at the saddle are made yearly
1,235,236,PTQUAD27,449691.537,4434110.033,40.0557358,-105.5898482,Saddle Pt Quad 27,Marilyn Walker,observational plot,3529.794,,Point quadrat measurements at the saddle are made yearly
1,236,237,PTQUAD37,449708.622,4434156.915,40.0561592,-105.5896516,Saddle Pt Quad 37,Marilyn Walker,observational plot,3528.65,,Point quadrat measurements at the saddle are made yearly
1,237,238,PTQUAD47,449716.92,4434205.667,40.0565989,-105.5895581,Saddle Pt Quad 47,Marilyn Walker,observational plot,3524.238,,Point quadrat measurements at the saddle are made yearly
1,238,239,PTQUAD57,449734.226,4434251.054,40.0570089,-105.5893587,Saddle Pt Quad 57,Marilyn Walker,observational plot,3521.368,,Point quadrat measurements at the saddle are made yearly
1,239,240,PTQUAD67,449746.595,4434303.451,40.0574817,-105.5892177,Saddle Pt Quad 67,Marilyn Walker,observational plot,3516.542,,Point quadrat measurements at the saddle are made yearly
1,240,241,PTQUAD77,449761.34,4434352.605,40.0579254,-105.5890487,Saddle Pt Quad 77,Marilyn Walker,observational plot,3508.174,,Point quadrat measurements at the saddle are made yearly
1,241,242,PTQUAD76,449705.757,4434354.48,40.057939,-105.5897005,Saddle Pt Quad 76,Marilyn Walker,observational plot,3510.757,,Point quadrat measurements at the saddle are made yearly
1,242,243,PTQUAD66,449700.887,4434316.516,40.0575967,-105.5897547,Saddle Pt Quad 66,Marilyn Walker,observational plot,3515.337,,Point quadrat measurements at the saddle are made yearly
1,243,244,PTQUAD56,449688.558,4434267.684,40.057156,-105.5898954,Saddle Pt Quad 56,Marilyn Walker,observational plot,3521.53,,Point quadrat measurements at the saddle are made yearly
1,244,245,PTQUAD46,449674.524,4434219.531,40.0567213,-105.5900562,Saddle Pt Quad 46,Marilyn Walker,observational plot,3526.291,,Point quadrat measurements at the saddle are made yearly
1,261,262,PTQUAD36,449660.974,4434167.519,40.0562519,-105.590211,Saddle Pt Quad 36,Marilyn Walker,observational plot,3531.278,,Point quadrat measurements at the saddle are made yearly
1,262,263,PTQUAD26,449648.811,4434119.495,40.0558185,-105.5903499,Saddle Pt Quad 26,Marilyn Walker,observational plot,3532.565,,Point quadrat measurements at the saddle are made yearly
1,263,264,PTQUAD16,449632.041,4434069.339,40.0553657,-105.5905426,Saddle Pt Quad 16,Marilyn Walker,observational plot,3532.149,,Point quadrat measurements at the saddle are made yearly
1,264,265,PTQUAD06,449617.954,4434027.172,40.0549849,-105.5907045,Saddle Pt Quad 06,Marilyn Walker,observational plot,3531.087,,Point quadrat measurements at the saddle are made yearly
1,265,266,PTQUAD05,449575.671,4434038.334,40.055083,-105.5912011,Saddle Pt Quad 05,Marilyn Walker,observational plot,3535.568,,Point quadrat measurements at the saddle are made yearly
1,266,267,PTQUAD15,449588.012,4434086.683,40.0555193,-105.5910602,Saddle Pt Quad 15,Marilyn Walker,observational plot,3537.023,,Point quadrat measurements at the saddle are made yearly
1,267,268,PTQUAD25,449600.06,4434129.317,40.0559041,-105.5909222,Saddle Pt Quad 25,Marilyn Walker,observational plot,3536.989,,Point quadrat measurements at the saddle are made yearly
1,268,269,PTQUAD35,449608.007,4434179.75,40.056359,-105.590833,Saddle Pt Quad 35,Marilyn Walker,observational plot,3535.165,,Point quadrat measurements at the saddle are made yearly
1,269,270,PTQUAD45,449628.025,4434227.103,40.0567868,-105.590602,Saddle Pt Quad 45,Marilyn Walker,observational plot,3532.384,,Point quadrat measurements at the saddle are made yearly
1,270,271,PTQUAD55,449636.647,4434273.248,40.057203,-105.5905045,Saddle Pt Quad 55,Marilyn Walker,observational plot,3528.089,,Point quadrat measurements at the saddle are made yearly
1,271,272,PTQUAD65,449645.04,4434328.263,40.0576992,-105.5904103,Saddle Pt Quad 65,Marilyn Walker,observational plot,3521.916,,Point quadrat measurements at the saddle are made yearly
1,272,273,PTQUAD75,449665.971,4434368.91,40.0580666,-105.5901681,Saddle Pt Quad 75,Marilyn Walker,observational plot,3515.389,,Point quadrat measurements at the saddle are made yearly
1,273,274,PTQUAD74,449616.102,4434383.287,40.0581931,-105.5907539,Saddle Pt Quad 74,Marilyn Walker,observational plot,3520.112,,Point quadrat measurements at the saddle are made yearly
1,274,275,PTQUAD64,449605.476,4434342.179,40.0578222,-105.5908753,Saddle Pt Quad 64,Marilyn Walker,observational plot,3528.991,,Point quadrat measurements at the saddle are made yearly
1,275,276,PTQUAD54,449586.733,4434292.821,40.0573764,-105.5910912,Saddle Pt Quad 54,Marilyn Walker,observational plot,3534.801,,Point quadrat measurements at the saddle are made yearly
1,276,277,PTQUAD44,449574.337,4434240.693,40.056906,-105.5912325,Saddle Pt Quad 44,Marilyn Walker,observational plot,3539.18,,Point quadrat measurements at the saddle are made yearly
1,277,278,PTQUAD34,449565.39,4434197.067,40.0565124,-105.591334,Saddle Pt Quad 34,Marilyn Walker,observational plot,3540.934,,Point quadrat measurements at the saddle are made yearly
1,278,279,PTQUAD24,449555.425,4434141.605,40.0560121,-105.5914465,Saddle Pt Quad 24,Marilyn Walker,observational plot,3541.385,,Point quadrat measurements at the saddle are made yearly
1,279,280,PTQUAD14,449534.828,4434100.893,40.0556441,-105.5916848,Saddle Pt Quad 14,Marilyn Walker,observational plot,3542.575,,Point quadrat measurements at the saddle are made yearly
1,280,281,PTQUAD04,449528.105,4434050.12,40.0551863,-105.5917597,Saddle Pt Quad 04,Marilyn Walker,observational plot,3541.242,,Point quadrat measurements at the saddle are made yearly
1,281,282,PTQUAD03,449481.473,4434065.079,40.0553183,-105.5923075,Saddle Pt Quad 03,Marilyn Walker,observational plot,3547.762,,Point quadrat measurements at the saddle are made yearly
1,282,283,PTQUAD13,449491.772,4434110.921,40.0557319,-105.5921904,Saddle Pt Quad 13,Marilyn Walker,observational plot,3548.872,,Point quadrat measurements at the saddle are made yearly
1,283,284,PTQUAD23,449505.608,4434158.994,40.0561658,-105.5920319,Saddle Pt Quad 23,Marilyn Walker,observational plot,3549.991,,Point quadrat measurements at the saddle are made yearly
1,284,285,PTQUAD33,449520.161,4434208.878,40.0566161,-105.5918652,Saddle Pt Quad 33,Marilyn Walker,observational plot,3550.573,,Point quadrat measurements at the saddle are made yearly
