,FID,LOC_ID,SITECODE,UTM_E,UTM_N,LATITUDE,LONGITUDE,ALT_SITECODE,PI,LOC_TYPE,GPS_ELEV,DATE_COLLECTED,PROJECT_DESCRIPTION
1,533,534,EMAY12,449769.512,4434031.712,40.0550349,-105.588928,Ebert-May Plot 12,Diane Ebert-May,observational plot,3531.645,,vegetation cover plots
1,534,535,EMAY11,449721.878,4434027.566,40.0549947,-105.5894861,Ebert-May Plot 11,Diane Ebert-May,observational plot,3529.814,,vegetation cover plots
1,535,536,EMAY11,449713.455,4434022.329,40.054947,-105.5895845,Ebert-May Plot 11,Diane Ebert-May,observational plot,3529.584,,vegetation cover plots
1,536,537,EMAY15,449670.136,4434028.713,40.0550019,-105.5900928,Ebert-May Plot 15,Diane Ebert-May,observational plot,3529.08,,vegetation cover plots
1,537,538,EMAY15,449661.125,4434025.304,40.0549707,-105.5901982,Ebert-May Plot 15,Diane Ebert-May,observational plot,3528.799,,vegetation cover plots
1,538,539,EMAY09,449637.149,4434022.949,40.054948,-105.5904791,Ebert-May Plot 09,Diane Ebert-May,observational plot,3529.837,,vegetation cover plots
1,539,540,EMAY09,449627.903,4434020.094,40.0549218,-105.5905873,Ebert-May Plot 09,Diane Ebert-May,observational plot,3530.158,,vegetation cover plots
1,540,541,EMAY07,449609.3,4433954.669,40.0543312,-105.5908003,Ebert-May Plot 07,Diane Ebert-May,observational plot,3525.212,,vegetation cover plots
1,541,542,EMAY07,449618.936,4433955.623,40.0543404,-105.5906874,Ebert-May Plot 07,Diane Ebert-May,observational plot,3524.976,,vegetation cover plots
1,542,543,EMAY06,449620.58,4433947.523,40.0542675,-105.5906675,Ebert-May Plot 06,Diane Ebert-May,observational plot,3524.419,,vegetation cover plots
1,543,544,EMAY06,449630.239,4433950.85,40.0542981,-105.5905545,Ebert-May Plot 06,Diane Ebert-May,observational plot,3524.923,,vegetation cover plots
1,544,545,EMAY08,449629.601,4433974.726,40.0545131,-105.5905639,Ebert-May Plot 08,Diane Ebert-May,observational plot,3526.043,,vegetation cover plots
1,545,546,EMAY08,449620.9,4433970.685,40.0544762,-105.5906655,Ebert-May Plot 08,Diane Ebert-May,observational plot,3526.107,,vegetation cover plots
1,546,547,EMAY01,449805.848,4433959.369,40.0543853,-105.5884964,Ebert-May Plot 01,Diane Ebert-May,observational plot,3529.956,,vegetation cover plots
